validated,venue_name,venue_type,venue_address,website,events,etc,menu,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
TRUE,Epiphany (Uptown),Church,"164 Washington Place Pittsburgh, Pa. 15219",www.epiphanychurch.net,"Wednesday Mar 1 from 11:00 AM to 7:00 PM, Friday Apr 14 from 11:00 AM to 7:00 PM, Friday Mar 31 from 11:00 AM to 7:00 PM, Friday Mar 3 from 11:00 AM to 7:00 PM, Friday Apr 7 from 11:00 AM to 7:00 PM, Friday Mar 17 from 11:00 AM to 7:00 PM, Friday Mar 24 from 11:00 AM to 7:00 PM, Friday Mar 10 from 11:00 AM to 7:00 PM",Free parking available.,,McDowell Hall; beneath church,412-471-1008,,,,FALSE,TRUE,,TRUE,9,40.439768,-79.990649
TRUE,Swissvale Fire Department,Fire Department,"7400 Irvine Street, Pittsburgh, PA 15218",http://swissvalefire.org/,"Friday Apr 7 from 11:00 AM to 7:00 PM, Friday Mar 17 from 11:00 AM to 7:00 PM, Friday Apr 14 from 11:00 AM to 7:00 PM, Friday Mar 10 from 11:00 AM to 7:00 PM, Wednesday Mar 1 from 11:00 AM to 7:00 PM, Friday Mar 31 from 11:00 AM to 7:00 PM, Friday Mar 24 from 11:00 AM to 7:00 PM, Friday Mar 3 from 11:00 AM to 7:00 PM","""Deliciously Famous""",See Website,,4122718787,,FALSE,TRUE,FALSE,TRUE,,TRUE,100,40.420674,-79.889398
TRUE,Option Independent Fire Company,,"825 Streets Run Road, Pittsburgh, PA",,"Friday Mar 17 from 3:00 AM to 7:00 PM, Friday Apr 7 from 3:00 AM to 7:00 PM, Friday Mar 10 from 3:00 AM to 7:00 PM, Friday Apr 14 from 3:00 AM to 7:00 PM, Friday Mar 24 from 3:00 AM to 7:00 PM, Friday Mar 3 from 3:00 AM to 7:00 PM, Friday Mar 31 from 3:00 AM to 7:00 PM",,https://www.facebook.com/photo.php?fbid=10212631954581625&set=p.10212631954581625&type=3&theater,,,,,TRUE,,FALSE,,TRUE,129,40.348215,-79.971825
TRUE,"St. Rosalia Academy, Greenfield",Church,"411 Greenfield Ave. Pittsburgh, PA",http://www.strosaliaparish.org,Wednesday Mar 1 from 11:00 AM to 7:00 PM,"***ASH WEDNESDAY ONLY*** Saint Rosalia Academy along with Saint Rosalia Parish will be having a Fish Fry on Ash Wednesday, March 1, 2017, from 11:00am-7:00pm . ",Menus are available at the entrances to the Church.,Wuerl Hall,412-521-9987,,,TRUE,FALSE,TRUE,TRUE,TRUE,45,40.42573,-79.943023
TRUE,"St. Thomas A Becket, Jefferson Hills",Church,"139 Gill Hall Road Pittsburgh, PA",http://saintthomasabecket.com,"Friday Mar 10 from 3:30 PM to 7:00 PM, Friday Mar 3 from 3:30 PM to 7:00 PM, Friday Mar 31 from 3:30 PM to 7:00 PM, Friday Apr 14 from 3:30 PM to 7:00 PM, Friday Mar 17 from 3:30 PM to 7:00 PM, Friday Mar 24 from 3:30 PM to 7:00 PM, Friday Apr 7 from 3:30 PM to 7:00 PM",,See menu at http://saintthomasabecket.com/2017FishFrymenu.pdf,,,,,,FALSE,TRUE,,TRUE,49,40.316059,-79.964112
TRUE,Church of the Ascension,Church,"4729 Ellsworth Ave, Pittsburgh, PA",http://www.ascensionpittsburgh.org/lenten-dinner-series/,"Friday Mar 17 from 6:30 PM to 8:30 PM, Friday Mar 31 from 6:30 PM to 8:30 PM, Friday Mar 10 from 6:30 PM to 8:30 PM, Friday Mar 24 from 6:30 PM to 8:30 PM","Evening-long program: Dinner-6:30, Worship-7:15, Teaching-7:30, QA-8:15, Dismiss-8:30. See the website for speakers.","Buffet dinner catered by Denise Bozich. Suggested donations for the dinner are as follows: $7/adult, $3/child, $20 family maximum.",,412-621-4361,,,FALSE,FALSE,FALSE,,TRUE,274,40.449102,-79.946821
TRUE,Allegheny Elks Lodge #339,Community Organization,"400 Cedar Avenue, Pittsburgh, PA",https://www.facebook.com/alleghenyelks/,"Friday Mar 24 from 5:30 PM to 8:00 PM, Friday Mar 10 from 5:30 PM to 8:00 PM, Friday Apr 14 from 5:30 PM to 8:00 PM, Friday Apr 7 from 5:30 PM to 8:00 PM, Friday Mar 31 from 5:30 PM to 8:00 PM, Friday Mar 17 from 5:30 PM to 8:00 PM, Friday Mar 3 from 5:30 PM to 8:00 PM"," Come get your Lenten Fish Fry on with Allegheny Elks on the Northside. Every Friday, March 3rd through April 14th.","Large Fish Sandwich - $11; Small Fish Sandwich - $8; Grilled Cod - $11; Toasted Cheese Sandwich - $6; Each meal comes with 2 sides (choose from fries, homemade mac & cheese, stewed tomatoes, coleslaw). A la carte sides - $3 each",,412-321-1834,,,TRUE,TRUE,FALSE,FALSE,TRUE,101,40.451826,-80.000775
TRUE,Holy Angels (Hays),Church,"408 Baldwin Road Pittsburgh, Pa. 15207",http://www.holyangelshays.org/fish-fry.html,,"ASH WEDNESDAY: MARCH 1, and FRIDAYS:  MARCH 3, 10, 17, 24, 31 and April 7, 14 (Good Friday) 11:00 AM TO 6:30 PM","fried fish sandwich dinner, with french fries and cole slaw, $9; baked fish dinner with baked potato, cole slaw and roll, $9; a la carte menu includes baked or fried fish sandwich and fried or baked fish with no bun, pizza, New England clam chowder and Maryland crab soup. Side dishes include macaroni and cheese, baked potato, french fries and cole slaw.",,412-461-9503,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,11,40.387258,-79.93301
TRUE,OTB Bicycle Cafe,Restaurant,"2518 East Carson St, Pittsburgh, PA 15203",,,,"We will be featuring a Colossal Fish sandwich with lettuce and tomato, Guinness Fish tacos with lime slaw, avocado, and pico de gallo, and last bit not least, our OTB Shrimp Po Boy!!",,,,,,,,,TRUE,295,40.427401,-79.969068
TRUE,Elliott West End Athletic Association,Community Organization,"Herschel St and Hassler St Pittsburgh, PA 15220",https://www.facebook.com/EliottAthleticAssociation/,"Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Apr 14 from 4:00 PM to 7:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM, Wednesday Mar 1 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Mar 3 from 4:00 PM to 7:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM",Takeout only. ,"Fried Fish Dinner and Shrimp Dinners 10 each, Fried Fish Sandwich 7, Haluski 3, Mac and Cheese 3, Grilled Cheese with chips 3, French Fries 2. Dinners include French fries, cole slaw, and drink. Extra drinks 1 extra. Drink choices include Pepsi, Diet Pepsi, Mountain Dew, Root Beer, Brisk Tea, Sierra Mist, bottled water.",Sales are out of the Herschel Playground Little League candy stand.  ,412-928-8854,,FALSE,TRUE,FALSE,FALSE,,TRUE,259,40.44088,-80.04379
TRUE,Northside Catholic School (at Risen Lord),Church,"3250 California Avenue, Pittsburgh, PA",https://www.facebook.com/events/459415711115955/,,"March 3-Good Friday we will be hostng Northisde Catholic Schools Fish Fry Fridays at Risen Lord Church on Californis Avenue. Dine in from 3-6:30 or order a family meal for takeout, deliveries wil be made from 3-5pm, within a 5 mile radius from the church, for deliveries please call 4129921360 between 11-2 (on the day of the Fish Fry) to place your orders. We are handicap accesible!! Our hopes are to contiue to serve the community and with that we hope to see you at our Fish Fry Fridays!","Baked fish, fried fish, grilled cheese sandwhiches, mini cheese pizzas and much more we are sure will have something for everyone!! ",,4129921360,,,,FALSE,FALSE,TRUE,TRUE,174,40.474645,-80.038741
TRUE,St. Philip- Ascension Worship Site,Church,"114 Berry St., Pittsburgh, PA",,"Friday Mar 3 from 4:00 PM to 7:00 PM, Friday Apr 14 from 4:00 PM to 7:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM","Ash Wednesdays and Fridays of Lent, including Good Friday, 4-7 p.m.","Fish sandwich, 6.50; fish dinner, 7.75; baked cod dinner, 8.75; jumbo shrimp dinner, 9; crab cake dinner, 9; seafood platter, 9.50; macaroni and cheese, 2. Soup, haluski, grilled cheese, beverages and dessert available.",Venue is located in Connor Hall of Ascension Church,412-922-6300,,,,,FALSE,,TRUE,43,40.449117,-80.068625
TRUE,"St. Raphael, Morningside/Stanton Heights",Church,"1154 Chislett St. Pittsburgh, PA",http://www.straphaelpgh.org/,"Friday Mar 10 from 4:30 PM to 7:00 PM, Friday Apr 7 from 4:30 PM to 7:00 PM, Friday Mar 31 from 4:30 PM to 7:00 PM, Friday Apr 14 from 4:30 PM to 7:00 PM, Friday Mar 24 from 4:30 PM to 7:00 PM, Friday Mar 3 from 4:30 PM to 7:00 PM, Friday Mar 17 from 4:30 PM to 7:00 PM",Please be sure to stop by our 8th Grade Bake Sale for dessert! Proceeds benefit a field trip!,"Dinners include entree, two sides, and a roll. Dinner Sides: fries, mac n cheese, three pierogies, cole slaw, applesauce, or veggies. Fried Fish Dinner - 10. Baked Fish Dinner - 11. Jumbo Fried Shrimp Dinner - 9. Six Pierogie Dinner - 7. Sandwiches and Sides also available a-la-carte for 1 to 4. Soda and Water - 1.",In the Multi Purpose Room,412.661.3100,parishcenter@straphaelpgh.org,,TRUE,FALSE,FALSE,,TRUE,44,40.478645,-79.928966
TRUE,St. Mary Orthodox Church,Church,"105 S. 19th St. Pittsburgh, PA 15203",,,FRIDAYS - March 3 through April 7 11am to 7pm,"Fish Sandwich and Fries  6, Shrimp and Fries  7, Baked Fish  5, Fried Fish  5, 1 Crab Cake  5, 4 Shrimp  6, Greek Salad  4, 3 Pierogi  3, Halushki  3, Macaroni and Cheese  3, Fries  1, Cole Slaw  1, Green Beans  1, Applesauce  1, Bun  1, Dozen Frozen Pierogi  8, Soft Drink or Bottled Water  1",,412-431-6428,,TRUE,,FALSE,TRUE,,TRUE,69,40.42808,-79.978952
TRUE,Wilkins Township VFC #3,Fire Department,"109 Powell St, East Pittsburgh, PA 15112",https://www.facebook.com/174495925973/photos/a.10151638492125974.1073741825.174495925973/10154161971400974/?type=3&theater,,every Lenten Friday from 4-7 pm; Good Friday 12-7,,,,,,,,,,TRUE,277,40.41792,-79.839093
TRUE,Nox's Tavern and Grill,Restaurant,"720 Blaw Ave Pittsburgh, Pennsylvania",,,,Fish platter (fish and slaw and chips): $10. Allegheny River Roll $11. Asian Shrimp skewer salad $11. Pierogies from locally owned Cop Out Pierogies. Homemade mac n cheese.,,,,,,TRUE,TRUE,,TRUE,106,40.492498,-79.862612
TRUE,Rupe's Roadhouse,Restaurant,"325 Camp Horne, Pittsburgh, PA 15202",http://www.roadhousech.com/home.html,Wednesday Mar 1 from 12:00 AM to 11:45 PM,Ash Wednesday and all Fridays of Lent,,,412-415-1087,,,,,,,TRUE,275,40.51864,-80.090051
FALSE,Doublewide Grill (South Side),,"2339 East Carson Street, Pittsburgh, PA",,,,,,,,,,,,,FALSE,84,40.428513,-79.971327
FALSE,"St. Norbert, Overbrook",Church,"2413 St. Norberts St. Pittsburgh, PA",,,,,,,,,,,,,FALSE,42,40.382435,-79.994229
TRUE,Original Oyster House,Restaurant,"20 Market Square, Pittsburgh, PA 15222",http://originaloysterhousepittsburgh.com/,,,http://originaloysterhousepittsburgh.com/Menu,,412-566-7925  ,,,,TRUE,TRUE,,TRUE,64,40.440974,-80.001995
FALSE,Shiloh Grill,,"123 Shiloh Street, Pittsburgh, PA",,,,,,,,,,,,,FALSE,63,40.430918,-80.006991
FALSE,McGinnis Sisters,,"3825 Saw Mill Run Blvd, Pittsburgh, PA 15227",,,,,,,,,,,,,FALSE,121,40.369675,-79.982075
FALSE,"St. John the Baptist Orthodox, East Pittsburgh",Church,"211 Cable Avenue, East Pittsburgh, PA",https://www.facebook.com/StJohnOrthodoxEastPitt,,Could not find good info on this site or anywhere else on the site.,,,412-824-0246,,,,,,,FALSE,175,40.399919,-79.836427
FALSE,"Prince of Peace, South Side",Church,"81 S. 13th St. Pittsburgh, PA",http://www.princeofpeacepittsburgh.org/,,ASH WEDNESDAY ONLY,,,,,,,,,,FALSE,25,40.428951,-79.985145
TRUE,The Pub Chip Shop,,"1830 E Carson St Pittsburgh, Pennsylvania",http://www.thepubchipshop.com/,,,http://www.thepubchipshop.com/food/,,412-381-2447,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,143,40.428466,-79.979369
TRUE,Bulldog Pub,Restaurant,"1818 Morningside Ave. Pittsburgh, PA 15206",https://www.facebook.com/BulldogPubPGH/,"Friday Apr 14 from 12:00 PM to 8:00 PM, Friday Apr 7 from 12:00 PM to 8:00 PM, Friday Mar 17 from 12:00 PM to 8:00 PM, Friday Mar 10 from 12:00 PM to 8:00 PM, Friday Mar 3 from 12:00 PM to 8:00 PM, Friday Mar 31 from 12:00 PM to 8:00 PM, Friday Mar 24 from 12:00 PM to 8:00 PM",,,,412-404-2775,,,TRUE,TRUE,TRUE,,TRUE,171,40.486705,-79.92653
TRUE,Piper's Pub,Restaurant,"1828 E Carson St., Pittsburgh, PA 15203",http://www.piperspub.com/,,,,,412-381-3977,,,TRUE,TRUE,TRUE,TRUE,TRUE,305,40.428427,-79.979431
TRUE,"St. Winifred, Mount Lebanon",Church,"550 Sleepy Hollow Road Pittsburgh, PA",http://www.stwinifred.org/,"Friday Mar 31 from 4:00 PM to 7:00 PM, Friday Mar 3 from 4:00 PM to 7:00 PM, Friday Apr 14 from 3:00 PM to 7:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM",,"Fried and baked fish, crab cakes and shrimp dinners, $9, and includes cole slaw, french fries or macaroni and cheese, roll, dessert and beverage. A la carte menu includes pizza, clam chowder, macaroni and cheese, french fries, onion rings, haluski, cole slaw, salad, applesauce, buttered noodles, crab cakes, breaded shrimp and stewed tomatoes. ",Benedict Hall,412-563-1415,,,TRUE,,FALSE,,TRUE,52,40.375395,-80.023619
TRUE,St. Maria Goretti,Church,"321 Edmond St, Pittsburgh, PA 15224",,"Friday Mar 3 from 4:00 PM to 7:00 PM, Wednesday Mar 1 from 4:00 PM to 7:00 PM, Friday Mar 10 from 4:00 PM to 7:00 PM, Friday Apr 7 from 4:00 PM to 7:00 PM, Friday Mar 24 from 4:00 PM to 7:00 PM, Friday Mar 17 from 4:00 PM to 7:00 PM, Friday Mar 31 from 4:00 PM to 7:00 PM",,"Weekly dinner choices include baked or fried fish or shrimp, with the following side dishes: March 1, french fries and cole slaw; March 3, spaghetti with garlic and oil, broccoli; March 10, french fries and cole slaw; March 17, macaroni and cheese, and vegetable; March 24, spaghetti with garlic and oil, broccoli; March 31, Ditaline (pasta with peas); April 7, french fries and cole slaw. French fries are available as an alternative to special weekly side dishes. All meals include drink. Cost is $10 for adult dinner, $7 for children and $8 for fish sandwich.",Friendship Campus,412-682-2509,,,TRUE,,,FALSE,TRUE,271,40.461709,-79.949893
TRUE,St. Peter/Our Lady Queen of Peace (Northside),Church,"907 Middle St, Pittsburgh, PA 15212",http://www.stpeterparish.org/lenten-fish-dinners,"Friday Mar 24 from 4:00 PM to 6:30 PM, Friday Mar 3 from 4:00 PM to 6:30 PM, Friday Mar 31 from 4:00 PM to 6:30 PM, Friday Mar 10 from 4:00 PM to 6:30 PM, Friday Apr 7 from 4:00 PM to 6:30 PM, Friday Mar 17 from 4:00 PM to 6:30 PM",,http://www.stpeterparish.org/lenten-fish-dinners,Note that you must use the Middle Street address for GPS navigation. The fish fry is located at Our Lady Queen of Peace facilities at Middle and Suismon.,412-321-2499,,,TRUE,,FALSE,,TRUE,301,40.455751,-79.999768
TRUE,St. Sebastian,Church,"311 Siebert Rd., Pittsburgh, PA",https://www.ssebastianparish.org/,"Friday Mar 31 from 4:30 PM to 7:00 PM, Friday Mar 24 from 4:30 PM to 7:00 PM, Friday Mar 3 from 4:30 PM to 7:00 PM, Friday Mar 10 from 4:30 PM to 7:00 PM",online orders accepted,https://media.wix.com/ugd/ae8b04_f0a44a09191641a1baf93cd357551b1b.pdf,,412-364-7171 ext. 8326,,,TRUE,,TRUE,,TRUE,304,40.529744,-80.011604
TRUE,Immaculate Heart of Mary Church,Church,"3058 Brereton St, Pittsburgh, PA 15219",www.immaculateheartpolishhill.com,"Friday Mar 17 from 3:00 PM to 6:30 PM, Friday Mar 24 from 3:00 PM to 6:30 PM, Friday Mar 31 from 3:00 PM to 6:30 PM, Friday Apr 7 from 3:00 PM to 6:30 PM, Wednesday Mar 1 from 3:00 PM to 6:30 PM, Friday Mar 3 from 3:00 PM to 6:30 PM, Friday Mar 10 from 3:00 PM to 6:30 PM",,"Dinners include fish sandwich, french fries and cole slaw. Also includes pierogies, haluski, soup and macaroni and cheese. Cost is 9 for adult dinner, 8 for sandwich.",Rosary Hall,412-621-5441,,,TRUE,FALSE,,TRUE,TRUE,241,40.454426,-79.974169
TRUE,St. Mary of the Mount Church - Sullivan Hall,Church,"131 Bigham, Pittsburgh, PA",http://www.smomp.org,"Friday Mar 3 from 4:30 AM to 7:30 PM, Friday Apr 7 from 4:30 AM to 7:30 PM, Friday Mar 17 from 4:30 AM to 7:30 PM, Friday Apr 14 from 4:30 AM to 7:30 PM, Friday Mar 10 from 4:30 AM to 7:30 PM, Friday Mar 31 from 4:30 AM to 7:30 PM, Friday Mar 24 from 4:30 AM to 7:30 PM",,http://www.smomp.org/files/Fish%20Fry%20Menu.pdf,,,,FALSE,TRUE,,,,TRUE,178,40.435178,-80.014238
TRUE,St Gregory Russian Orthodox Church,Church,"214 E. 15th Ave, Homestead, PA 15120",http://www.stgregoryrussianchurch.org/,"Friday Mar 10 from 11:00 AM to 5:00 PM, Friday Mar 3 from 11:00 AM to 5:00 PM, Friday Apr 14 from 11:00 AM to 5:00 PM, Friday Mar 24 from 11:00 AM to 5:00 PM, Friday Mar 17 from 11:00 AM to 5:00 PM, Friday Mar 31 from 11:00 AM to 5:00 PM, Friday Apr 7 from 11:00 AM to 5:00 PM",Homemade Cheregies!,http://www.stgregoryrussianchurch.org/fish-fry-english/,,412-462-8256,,FALSE,TRUE,FALSE,TRUE,,TRUE,179,40.402733,-79.905097
FALSE,St. Albert the Great (Baldwin),Church,"3171 Churchview Ave. Pittsburgh, PA 15227",,,,,,,,,,,,,FALSE,4,40.386654,-79.961604
TRUE,"Madonna del Castello, Swissvale",Church,2021 South Braddock Ave,www.madonnadelcastello.org,"Wednesday Mar 1 from 12:00 PM to 7:00 PM, Friday Mar 31 from 12:00 PM to 7:00 PM, Friday Mar 17 from 12:00 PM to 7:00 PM, Friday Mar 3 from 12:00 PM to 7:00 PM, Friday Mar 10 from 12:00 PM to 7:00 PM, Friday Mar 24 from 12:00 PM to 7:00 PM, Friday Apr 7 from 12:00 PM to 7:00 PM",For takeout call 412-271-3959,"Menu includes baked or fried fish dinners and a la carte items, including fish, eggplant, haluski, macaroni and cheese, pasta e fagioli, applesauce, roll and beverage. ",In Social Hall,412-271-5666,,,TRUE,FALSE,TRUE,,TRUE,18,40.421887,-79.884757
TRUE,American Serbian Club,Community Organization,"2524 Sarah St., Pittsburgh, PA 15203",,,Times: March 1  Lunch Only 11AM-2PM; March 3 thru April 7 11AM-7PM ,"Fish Dinner $9 includes 2 sides limited quantities of baked fish available, Fish Sandwich Dinner $9 includes 2 sides, Fried Shrimp Dinner $9 includes 2 sides, Fish Sandwich $7, Soup of the Day $3, Side Dishes: Rice $2, French Fries $2, Mac & Cheese $2, Coleslaw $2, Vegetable of the Day $2, Haluski $2, Pierogi 3 $2, Desserts $2",Events benefit Holy Trinity.,412-431-9351,,,,TRUE,TRUE,,TRUE,176,40.426471,-79.969302
